trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,8,-43.163759573588074,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-236.54670205195785,"{0: 10, 1: 6, 2: 4, 3: 1, 4: 4}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-220.10004053370304,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-85.37994701617372,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-39.734167421192645,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,8,-18.21749707562229,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-94.68808172308685,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-99.8465621642418,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,0,-39.15136129155466,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-109.65926119927968,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",30,0,-259.9030286932693,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 5}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,16,-35.433633214099885,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,15,3.6863716327565808,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,7,-119.92303108826998,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 2}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,15,-49.00047693252658,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",25,9,-56.04709085139604,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
